Year,Country of origin,Country of origin (ISO),CountryOfAsylum,Country of asylum (ISO),RefugeesTotal
1990,Serbia and Kosovo: S/RES/1244 (1999),SRB,United Kingdom of Great Britain and Northern Ireland,GBR,6
1990,Serbia and Kosovo: S/RES/1244 (1999),SRB,United States of America,USA,63
1990,Viet Nam,VNM,Malaysia,MYS,14862
1990,Viet Nam,VNM,United States of America,USA,137577
1990,Stateless,XXA,United Kingdom of Great Britain and Northern Ireland,GBR,102
1990,Sudan,SDN,United Kingdom of Great Britain and Northern Ireland,GBR,116
1990,Sudan,SDN,United States of America,USA,44
1990,Suriname,SUR,United States of America,USA,19
1990,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,17
1990,Syrian Arab Rep.,SYR,United States of America,USA,257
1990,United Rep. of Tanzania,TZA,United Kingdom of Great Britain and Northern Ireland,GBR,5
1990,Türkiye,TUR,United Kingdom of Great Britain and Northern Ireland,GBR,2015
1990,Uganda,UGA,United Kingdom of Great Britain and Northern Ireland,GBR,1734
1990,Uganda,UGA,United States of America,USA,136
1990,Unknown ,UNK,Australia,AUS,97915
1990,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,19610
1990,Unknown ,UNK,Netherlands (Kingdom of the),NLD,17337
1990,Unknown ,UNK,United States of America,USA,767
1990,Uruguay,URY,United Kingdom of Great Britain and Northern Ireland,GBR,5
1990,Yemen,YEM,United Kingdom of Great Britain and Northern Ireland,GBR,5
1990,Zimbabwe,ZWE,United Kingdom of Great Britain and Northern Ireland,GBR,5
1991,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,192
1991,Afghanistan,AFG,United States of America,USA,10388
1991,Albania,ALB,United States of America,USA,1628
1991,Algeria,DZA,United Kingdom of Great Britain and Northern Ireland,GBR,5
1991,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR,96
1991,Angola,AGO,United States of America,USA,151
1991,Egypt,EGY,United Kingdom of Great Britain and Northern Ireland,GBR,5
1991,Egypt,EGY,United States of America,USA,5
1991,Argentina,ARG,United Kingdom of Great Britain and Northern Ireland,GBR,5
1991,Bangladesh,BGD,United Kingdom of Great Britain and Northern Ireland,GBR,13
1991,Bulgaria,BGR,United Kingdom of Great Britain and Northern Ireland,GBR,46
1991,Bulgaria,BGR,United States of America,USA,1365
1991,Cambodia,KHM,United States of America,USA,6260
1991,China,CHN,United Kingdom of Great Britain and Northern Ireland,GBR,191
1991,China,CHN,United States of America,USA,1355
1991,Chile,CHL,United Kingdom of Great Britain and Northern Ireland,GBR,10
1991,Dem. Rep. of the Congo,COD,United Kingdom of Great Britain and Northern Ireland,GBR,183
1991,Dem. Rep. of the Congo,COD,United States of America,USA,192
1991,Colombia,COL,United Kingdom of Great Britain and Northern Ireland,GBR,123
1991,Colombia,COL,United States of America,USA,19
1991,Cuba,CUB,United Kingdom of Great Britain and Northern Ireland,GBR,5
1991,Cuba,CUB,United States of America,USA,16317
1991,Czechia,CZE,United Kingdom of Great Britain and Northern Ireland,GBR,41
1991,Czechia,CZE,United States of America,USA,3191
1991,Djibouti,DJI,United Kingdom of Great Britain and Northern Ireland,GBR,10
1991,Ethiopia,ETH,United Kingdom of Great Britain and Northern Ireland,GBR,1342
1991,Ethiopia,ETH,United States of America,USA,14310
1991,Ghana,GHA,United Kingdom of Great Britain and Northern Ireland,GBR,954
1991,Ghana,GHA,United States of America,USA,5
1991,Grenada,GRD,United Kingdom of Great Britain and Northern Ireland,GBR,5
1991,Guatemala,GTM,United States of America,USA,265
1991,Haiti,HTI,United States of America,USA,23
1991,Honduras,HND,United States of America,USA,5
1991,Hungary,HUN,United Kingdom of Great Britain and Northern Ireland,GBR,13
1991,Hungary,HUN,United States of America,USA,2921
1991,India,IND,United Kingdom of Great Britain and Northern Ireland,GBR,369
1991,India,IND,United States of America,USA,21
1991,Iran (Islamic Rep. of),IRN,United Kingdom of Great Britain and Northern Ireland,GBR,6432
1991,Iran (Islamic Rep. of),IRN,United States of America,USA,27718
1991,Iraq,IRQ,United Kingdom of Great Britain and Northern Ireland,GBR,1443
1991,Iraq,IRQ,United States of America,USA,1367
1991,Israel,ISR,United States of America,USA,5
1991,Jordan,JOR,United Kingdom of Great Britain and Northern Ireland,GBR,6
1991,Jordan,JOR,United States of America,USA,5
1991,Kenya,KEN,United Kingdom of Great Britain and Northern Ireland,GBR,7
1991,Rep. of Korea,KOR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1991,Lao People's Dem. Rep.,LAO,United Kingdom of Great Britain and Northern Ireland,GBR,5
1991,Lao People's Dem. Rep.,LAO,United States of America,USA,60660
1991,Liberia,LBR,United Kingdom of Great Britain and Northern Ireland,GBR,20
1991,Liberia,LBR,United States of America,USA,96
1991,Libya,LBY,United Kingdom of Great Britain and Northern Ireland,GBR,65
1991,Libya,LBY,United States of America,USA,610
1991,Lebanon,LBN,United Kingdom of Great Britain and Northern Ireland,GBR,606
1991,Lebanon,LBN,United States of America,USA,350
1991,Sri Lanka,LKA,United Kingdom of Great Britain and Northern Ireland,GBR,5261
1991,Sri Lanka,LKA,United States of America,USA,19
1991,Lithuania,LTU,United States of America,USA,5
1991,Mozambique,MOZ,United States of America,USA,39
1991,Myanmar,MMR,United Kingdom of Great Britain and Northern Ireland,GBR,15
1991,Myanmar,MMR,United States of America,USA,27
1991,Namibia,NAM,United States of America,USA,6
1991,Nicaragua,NIC,United States of America,USA,15197
1991,Nigeria,NGA,United Kingdom of Great Britain and Northern Ireland,GBR,10
1991,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,345
1991,Pakistan,PAK,United States of America,USA,103
1991,Panama,PAN,United States of America,USA,619
1991,Peru,PER,United Kingdom of Great Britain and Northern Ireland,GBR,21
1991,Peru,PER,United States of America,USA,73
1991,Philippines,PHL,United States of America,USA,5
1991,Poland,POL,United Kingdom of Great Britain and Northern Ireland,GBR,234
1991,Poland,POL,United States of America,USA,13779
1991,Romania,ROU,United Kingdom of Great Britain and Northern Ireland,GBR,77
1991,Romania,ROU,United States of America,USA,18599
1991,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,105
1991,South Africa,ZAF,United States of America,USA,194
1991,Russian Federation,RUS,United Kingdom of Great Britain and Northern Ireland,GBR,76
1991,Russian Federation,RUS,United States of America,USA,153658
1991,Rwanda,RWA,United States of America,USA,5
1991,El Salvador,SLV,United Kingdom of Great Britain and Northern Ireland,GBR,17
1991,El Salvador,SLV,United States of America,USA,1136
1991,Seychelles,SYC,United Kingdom of Great Britain and Northern Ireland,GBR,67
1991,Sierra Leone,SLE,United Kingdom of Great Britain and Northern Ireland,GBR,8
1991,Somalia,SOM,United Kingdom of Great Britain and Northern Ireland,GBR,2100
1991,Somalia,SOM,United States of America,USA,739
1991,Serbia and Kosovo: S/RES/1244 (1999),SRB,United Kingdom of Great Britain and Northern Ireland,GBR,8
1991,Serbia and Kosovo: S/RES/1244 (1999),SRB,United States of America,USA,57
1991,Viet Nam,VNM,United Kingdom of Great Britain and Northern Ireland,GBR,5
1991,Viet Nam,VNM,Malaysia,MYS,12493
1991,Viet Nam,VNM,United States of America,USA,158999
1991,Stateless,XXA,United Kingdom of Great Britain and Northern Ireland,GBR,102
1991,Sudan,SDN,United Kingdom of Great Britain and Northern Ireland,GBR,128
1991,Sudan,SDN,United States of America,USA,98
1991,Suriname,SUR,United States of America,USA,19
1991,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,16
1991,Syrian Arab Rep.,SYR,United States of America,USA,205
1991,United Rep. of Tanzania,TZA,United Kingdom of Great Britain and Northern Ireland,GBR,5
1991,Türkiye,TUR,United Kingdom of Great Britain and Northern Ireland,GBR,2304
1991,Uganda,UGA,United Kingdom of Great Britain and Northern Ireland,GBR,1757
1991,Uganda,UGA,United States of America,USA,249
1991,Unknown ,UNK,Australia,AUS,53117
1991,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,18492
1991,Unknown ,UNK,Malaysia,MYS,1454
1991,Unknown ,UNK,Netherlands (Kingdom of the),NLD,19020
1991,Unknown ,UNK,United States of America,USA,823
1991,Yemen,YEM,United Kingdom of Great Britain and Northern Ireland,GBR,10
1991,Zimbabwe,ZWE,United Kingdom of Great Britain and Northern Ireland,GBR,8
1992,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,156
1992,Afghanistan,AFG,Netherlands (Kingdom of the),NLD,610
1992,Afghanistan,AFG,United States of America,USA,8686
1992,Albania,ALB,Netherlands (Kingdom of the),NLD,8
1992,Albania,ALB,United States of America,USA,2711
1992,Algeria,DZA,Netherlands (Kingdom of the),NLD,5
1992,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR,108
1992,Angola,AGO,Netherlands (Kingdom of the),NLD,62
1992,Angola,AGO,United States of America,USA,115
1992,Egypt,EGY,United Kingdom of Great Britain and Northern Ireland,GBR,5
1992,Egypt,EGY,Netherlands (Kingdom of the),NLD,55
1992,Egypt,EGY,United States of America,USA,15
1992,Argentina,ARG,Netherlands (Kingdom of the),NLD,5
1992,Bangladesh,BGD,United Kingdom of Great Britain and Northern Ireland,GBR,28
1992,Bangladesh,BGD,Netherlands (Kingdom of the),NLD,35
1992,Burkina Faso,BFA,Netherlands (Kingdom of the),NLD,5
1992,Bolivia (Plurinational State of),BOL,Netherlands (Kingdom of the),NLD,5
1992,Bolivia (Plurinational State of),BOL,United States of America,USA,6
1992,Bulgaria,BGR,United Kingdom of Great Britain and Northern Ireland,GBR,45
1992,Bulgaria,BGR,Netherlands (Kingdom of the),NLD,41
1992,Bulgaria,BGR,United States of America,USA,1417
1992,Cambodia,KHM,Netherlands (Kingdom of the),NLD,95
1992,Cambodia,KHM,United States of America,USA,4721
1992,China,CHN,United Kingdom of Great Britain and Northern Ireland,GBR,218
1992,China,CHN,Netherlands (Kingdom of the),NLD,232
1992,China,CHN,United States of America,USA,1606
1992,Chile,CHL,United Kingdom of Great Britain and Northern Ireland,GBR,6
1992,Chile,CHL,Netherlands (Kingdom of the),NLD,177
1992,Cameroon,CMR,Netherlands (Kingdom of the),NLD,5
1992,Cameroon,CMR,United States of America,USA,19
1992,Dem. Rep. of the Congo,COD,United Kingdom of Great Britain and Northern Ireland,GBR,203
1992,Dem. Rep. of the Congo,COD,Netherlands (Kingdom of the),NLD,155
1992,Dem. Rep. of the Congo,COD,United States of America,USA,283
1992,Colombia,COL,United Kingdom of Great Britain and Northern Ireland,GBR,133
1992,Colombia,COL,Netherlands (Kingdom of the),NLD,12
1992,Colombia,COL,United States of America,USA,35
1992,Cuba,CUB,United Kingdom of Great Britain and Northern Ireland,GBR,5
1992,Cuba,CUB,Netherlands (Kingdom of the),NLD,5
1992,Cuba,CUB,United States of America,USA,19934
1992,Czechia,CZE,United Kingdom of Great Britain and Northern Ireland,GBR,24
1992,Czechia,CZE,Netherlands (Kingdom of the),NLD,61
1992,Czechia,CZE,United States of America,USA,2137
1992,Djibouti,DJI,United Kingdom of Great Britain and Northern Ireland,GBR,10
1992,Equatorial Guinea,GNQ,Netherlands (Kingdom of the),NLD,5
1992,Ethiopia,ETH,United Kingdom of Great Britain and Northern Ireland,GBR,3498
1992,Ethiopia,ETH,Netherlands (Kingdom of the),NLD,2396
1992,Ethiopia,ETH,United States of America,USA,15593
1992,French Guiana,GUF,Netherlands (Kingdom of the),NLD,5
1992,Fiji,FJI,United States of America,USA,19
1992,Gambia,GMB,Netherlands (Kingdom of the),NLD,9
1992,Ghana,GHA,United Kingdom of Great Britain and Northern Ireland,GBR,967
1992,Ghana,GHA,Netherlands (Kingdom of the),NLD,99
1992,Ghana,GHA,United States of America,USA,12
1992,Guatemala,GTM,United States of America,USA,352
1992,Guinea,GIN,Netherlands (Kingdom of the),NLD,9
1992,Haiti,HTI,United States of America,USA,197
1992,Honduras,HND,United States of America,USA,24
1992,Hungary,HUN,United Kingdom of Great Britain and Northern Ireland,GBR,12
1992,Hungary,HUN,Netherlands (Kingdom of the),NLD,66
1992,Hungary,HUN,United States of America,USA,2240
1992,Cote d'Ivoire,CIV,Netherlands (Kingdom of the),NLD,7
1992,Cote d'Ivoire,CIV,United States of America,USA,5
1992,India,IND,United Kingdom of Great Britain and Northern Ireland,GBR,829
1992,India,IND,Netherlands (Kingdom of the),NLD,34
1992,India,IND,United States of America,USA,99
1992,Indonesia,IDN,Netherlands (Kingdom of the),NLD,140
1992,Iran (Islamic Rep. of),IRN,United Kingdom of Great Britain and Northern Ireland,GBR,5648
1992,Iran (Islamic Rep. of),IRN,Netherlands (Kingdom of the),NLD,4392
1992,Iran (Islamic Rep. of),IRN,United States of America,USA,21871
1992,Iraq,IRQ,United Kingdom of Great Britain and Northern Ireland,GBR,2761
1992,Iraq,IRQ,Netherlands (Kingdom of the),NLD,1795
1992,Iraq,IRQ,United States of America,USA,4661
1992,Israel,ISR,United States of America,USA,9
1992,Jordan,JOR,United Kingdom of Great Britain and Northern Ireland,GBR,6
1992,Jordan,JOR,Netherlands (Kingdom of the),NLD,11
1992,Jordan,JOR,United States of America,USA,34
1992,Kenya,KEN,United Kingdom of Great Britain and Northern Ireland,GBR,20
1992,Rep. of Korea,KOR,United Kingdom of Great Britain and Northern Ireland,GBR,5
1992,Kuwait,KWT,Netherlands (Kingdom of the),NLD,5
1992,Kuwait,KWT,United States of America,USA,20
1992,Lao People's Dem. Rep.,LAO,Netherlands (Kingdom of the),NLD,5
1992,Lao People's Dem. Rep.,LAO,United States of America,USA,52465
1992,Liberia,LBR,United Kingdom of Great Britain and Northern Ireland,GBR,50
1992,Liberia,LBR,Netherlands (Kingdom of the),NLD,57
1992,Liberia,LBR,United States of America,USA,935
1992,Libya,LBY,United Kingdom of Great Britain and Northern Ireland,GBR,41
1992,Libya,LBY,Netherlands (Kingdom of the),NLD,8
1992,Libya,LBY,United States of America,USA,494
1992,Lebanon,LBN,United Kingdom of Great Britain and Northern Ireland,GBR,1240
1992,Lebanon,LBN,Netherlands (Kingdom of the),NLD,252
1992,Lebanon,LBN,United States of America,USA,383
1992,Sri Lanka,LKA,United Kingdom of Great Britain and Northern Ireland,GBR,9564
1992,Sri Lanka,LKA,Netherlands (Kingdom of the),NLD,860
1992,Sri Lanka,LKA,United States of America,USA,63
1992,Lithuania,LTU,United States of America,USA,5
1992,Mauritania,MRT,Netherlands (Kingdom of the),NLD,10
1992,Mali,MLI,Netherlands (Kingdom of the),NLD,5
1992,Morocco,MAR,Netherlands (Kingdom of the),NLD,33
1992,Mozambique,MOZ,United States of America,USA,40
1992,Myanmar,MMR,United Kingdom of Great Britain and Northern Ireland,GBR,15
1992,Myanmar,MMR,United States of America,USA,104
1992,Namibia,NAM,United States of America,USA,5
1992,Niger,NER,Netherlands (Kingdom of the),NLD,6
1992,Nicaragua,NIC,United States of America,USA,13290
1992,Nigeria,NGA,United Kingdom of Great Britain and Northern Ireland,GBR,10
1992,Nigeria,NGA,Netherlands (Kingdom of the),NLD,40
1992,Pakistan,PAK,United Kingdom of Great Britain and Northern Ireland,GBR,703
1992,Pakistan,PAK,Netherlands (Kingdom of the),NLD,116
1992,Pakistan,PAK,United States of America,USA,179
1992,Panama,PAN,Netherlands (Kingdom of the),NLD,5
1992,Panama,PAN,United States of America,USA,622
1992,Paraguay,PRY,Netherlands (Kingdom of the),NLD,5
1992,Peru,PER,United Kingdom of Great Britain and Northern Ireland,GBR,21
1992,Peru,PER,Netherlands (Kingdom of the),NLD,20
1992,Peru,PER,United States of America,USA,185
1992,Philippines,PHL,Netherlands (Kingdom of the),NLD,13
1992,Philippines,PHL,United States of America,USA,20
1992,Poland,POL,United Kingdom of Great Britain and Northern Ireland,GBR,185
1992,Poland,POL,Netherlands (Kingdom of the),NLD,222
1992,Poland,POL,United States of America,USA,9731
1992,Romania,ROU,United Kingdom of Great Britain and Northern Ireland,GBR,75
1992,Romania,ROU,Netherlands (Kingdom of the),NLD,252
1992,Romania,ROU,United States of America,USA,17042
1992,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,74
1992,South Africa,ZAF,Netherlands (Kingdom of the),NLD,81
1992,South Africa,ZAF,United States of America,USA,139
1992,Russian Federation,RUS,United Kingdom of Great Britain and Northern Ireland,GBR,84
1992,Russian Federation,RUS,Netherlands (Kingdom of the),NLD,485
1992,Russian Federation,RUS,United States of America,USA,211661
1992,Rwanda,RWA,United States of America,USA,5
1992,El Salvador,SLV,United Kingdom of Great Britain and Northern Ireland,GBR,5
1992,El Salvador,SLV,Netherlands (Kingdom of the),NLD,14
1992,El Salvador,SLV,United States of America,USA,1203
1992,Seychelles,SYC,United Kingdom of Great Britain and Northern Ireland,GBR,52
1992,Sierra Leone,SLE,United Kingdom of Great Britain and Northern Ireland,GBR,8
1992,Sierra Leone,SLE,Netherlands (Kingdom of the),NLD,5
1992,Somalia,SOM,United Kingdom of Great Britain and Northern Ireland,GBR,4322
1992,Somalia,SOM,Netherlands (Kingdom of the),NLD,5002
1992,Somalia,SOM,United States of America,USA,2416
1992,Serbia and Kosovo: S/RES/1244 (1999),SRB,United Kingdom of Great Britain and Northern Ireland,GBR,8
1992,Serbia and Kosovo: S/RES/1244 (1999),SRB,Netherlands (Kingdom of the),NLD,89
1992,Serbia and Kosovo: S/RES/1244 (1999),SRB,United States of America,USA,110
